phylum	colors
p__Undinarchaeota	#CCCCCC
p__Thermoproteota	#CCCCCC
p__Asgardarchaeota	#CCCCCC
p__Thermoplasmatota	#CCCCCC
p__Halobacteriota	#CCCCCC
p__Methanobacteriota_B	#CCCCCC
p__Hadarchaeota	#CCCCCC
p__Methanobacteriota	#CCCCCC
p__Hydrothermarchaeota	#CCCCCC
p__JACRDV01	#CCCCCC
p__Micrarchaeota	#CCCCCC
p__B1Sed10-29	#CCCCCC
p__Iainarchaeota	#CCCCCC
p__Altiarchaeota	#CCCCCC
p__JAADDD01	#CCCCCC
p__SpSt-1190	#CCCCCC
p__Aenigmatarchaeota	#CCCCCC
p__Nanohaloarchaeota	#CCCCCC
p__EX4484-52	#CCCCCC
p__Huberarchaeota	#CCCCCC
p__Nanoarchaeota	#CCCCCC
p__Spirochaetota	#CAC8C9
p__JAGOBX01	#C7C0C1
p__T1SED10-198M	#C1B6B6
p__AUK180	#BFB2B2
p__Dependentiae	#BEAEAE
p__UBA8481	#BCAAAB
p__Lindowbacteria	#B7A3A3
p__T1Sed10-126	#B69F9F
p__Planctomycetota	#B59C9C
p__Chlamydiota	#B09595
p__Verrucomicrobiota	#AD8D8D
p__Sumerlaeota	#AA8A89
p__OLB16	#A98686
p__Abyssobacteria	#A88282
p__Hydrogenedentota	#A47B7B
p__UBP4	#A27777
p__Poribacteria	#9C6B6C
p__RBG-13-66-14	#9A6868
p__Fermentibacterota	#986464
p__Fibrobacterota	#966161
p__JAGOEH01	#955D5D
p__AABM5-125-24	#93595A
p__Delongbacteria	#915555
p__Calditrichota	#8F5252
p__KSB1	#8E4F4E
p__JdFR-76	#8C4B4A
p__QNDG01	#8A4746
p__BS750m-G25	#884343
p__SM23-31	#86403F
p__CLD3	#843C3C
p__Bacteroidota	#823838
p__Marinisomatota	#803435
p__Cloacimonadota	#7F3131
p__UBP14	#792626
p__JAFGND01	#772221
p__WOR-3	#761E1E
p__TA06_A	#731A1A
p__JAAXHH01	#721616
p__Latescibacterota	#701313
p__JAGLTZ01	#680808
p__Zixibacteria	#6E0808
p__VGIX01	#780808
p__JABDJQ01	#7F0808
p__ARS69	#870808
p__JAGLYR01	#970808
p__Eisenbacteria	#9F0808
p__Krumholzibacteriota	#A70808
p__GCA-2686955	#AF0808
p__Gemmatimonadota	#BE0808
p__4572-55	#C40808
p__Edwardsbacteria	#C80808
p__TA06	#CC0808
p__Acidobacteriota	#D50C08
p__B130-G9	#D81308
p__CSSED10-310	#DD2508
p__Campylobacterota	#DE2E08
p__Aquificota	#DF3708
p__Thermosulfidibacterota	#DF3F08
p__Chrysiogenota	#DF4608
p__Deferribacterota	#E04E08
p__Desulfobacterota_D	#E05908
p__JAJRZV01	#E05F08
p__Calescibacterota	#E06708
p__DYJV01	#E06F08
p__Desulfobacterota_G	#E07F08
p__JAMCPX01	#E08F08
p__SZUA-79	#E09708
p__J088	#E09F08
p__Pseudomonadota	#E0A608
p__UBA2233	#E0AE08
p__Nitrospirota_A	#E0B408
p__Desulfobacterota_E	#E0D908
p__BMS3Abin14	#E0DD08
p__Desulfobacterota_C	#E1E008
p__Desulfobacterota_F	#E2E308
p__SZUA-182	#DFE508
p__Moduliflexota	#CDE608
p__Methylomirabilota	#C3E608
p__Schekmanbacteria	#BBE508
p__UBA8248	#A9E108
p__JACPUC01	#97DB08
p__JADFOP01	#86D608
p__JACPSX01	#7ED308
p__Tectomicrobia	#76D108
p__Nitrospinota_B	#67CC08
p__Nitrospinota	#5FC908
p__CG2-30-53-67	#55C408
